NODE_9_length_3842_cov_27.242963,Viral_Rep
NODE_9366_length_364_cov_3.655052,Ribosomal_L27A
NODE_9363_length_364_cov_5.059233,Ribosomal_L20
NODE_9359_length_365_cov_0.628472,OpuAC
NODE_9354_length_365_cov_0.673611,MreC
NODE_9343_length_365_cov_0.975694,Complex1_30kDa
NODE_9300_length_365_cov_2.722222,MotA_ExbB
NODE_9295_length_365_cov_3.434028,NAD_binding_8
NODE_928_length_870_cov_3.163934,Epimerase
NODE_9265_length_366_cov_1.013841,Phage_lysozyme
NODE_923_length_871_cov_5.107053,adh_short_C2
NODE_921_length_872_cov_9.893082,IF-2 RBFA
NODE_9219_length_366_cov_3.003460,GH3
NODE_9216_length_366_cov_3.598616,OMP_b-brl_3
NODE_9204_length_366_cov_7.802768,N6_N4_Mtase
NODE_91_length_2041_cov_5.590122,Trigger_N FKBP_C CLP_protease Trigger_C
NODE_919_length_873_cov_1.399497,4HBT
NODE_9180_length_367_cov_1.206897,CPSase_sm_chain
NODE_916_length_876_cov_2.851250,Ribosomal_L13
NODE_914_length_877_cov_4.903750,Exonuc_VII_S Exonuc_VII_L
NODE_913_length_877_cov_22.233750,Sod_Fe_C Sod_Fe_N
NODE_9124_length_367_cov_8.941379,SepF
NODE_9123_length_367_cov_9.275862,Mob_synth_C
NODE_911_length_878_cov_6.383271,cNMP_binding HTH_Crp_2 Crp
NODE_9113_length_368_cov_0.969072,ParBc
NODE_9048_length_368_cov_4.869416,GrpE
NODE_9045_length_368_cov_5.233677,OmpA
NODE_9042_length_368_cov_6.113402,GDP_Man_Dehyd
NODE_9011_length_369_cov_1.458904,RNA_pol_A_CTD
NODE_8_length_3958_cov_4.036073,Molybdopterin Fer4_11 Nitr_red_bet_C Molydop_binding Nitrate_red_del
NODE_8996_length_369_cov_1.955479,NinG
NODE_8995_length_369_cov_1.979452,GCV_T_C
NODE_8994_length_369_cov_1.979452,tRNA-synt_His
NODE_898_length_884_cov_2.221809,DDE_Tnp_1_4
NODE_8966_length_370_cov_1.187713,DegT_DnrJ_EryC1
NODE_894_length_887_cov_3.623457,Peptidase_S9
NODE_8939_length_370_cov_2.030717,Pyr_redox_2
NODE_892_length_887_cov_17.908642,Flavodoxin_1 DUF3793
NODE_8925_length_370_cov_4.853242,Thy1
NODE_889_length_888_cov_1.678175,DNA_pol_A
NODE_8891_length_371_cov_1.465986,Phage_lysozyme
NODE_885_length_889_cov_26.129310,Ribosomal_S18
NODE_8856_length_371_cov_2.486395,tRNA-synt_2
NODE_884_length_890_cov_1.690037,RNA_pol_Rpb1_5 RNA_pol_Rpb1_4
NODE_8847_length_371_cov_3.448980,Sigma70_r4_2
NODE_8836_length_371_cov_5.976190,tRNA-synt_1c
NODE_880_length_891_cov_8.422604,Thioredoxin
NODE_879_length_891_cov_15.703931,Sigma70_r4_2 Sigma70_r2
NODE_8799_length_372_cov_1.901695,HsdM_N
NODE_876_length_892_cov_3.256442,TonB_C
NODE_8757_length_372_cov_10.708475,Methyltrn_RNA_4
NODE_8745_length_373_cov_0.729730,MM_CoA_mutase
NODE_872_length_895_cov_21.272616,Ribosomal_L21p Ribosomal_L27
NODE_869_length_898_cov_2.456760,PseudoU_synth_2
NODE_8689_length_374_cov_0.616162,ATP-synt_C
NODE_867_length_898_cov_3.763703,Na_Ala_symp
NODE_8610_length_375_cov_0.741611,Cons_hypoth95
NODE_8602_length_375_cov_0.959732,YceG
NODE_85_length_2110_cov_21.341367,Cpn10 Cpn60_TCP1
NODE_8598_length_375_cov_1.171141,Ribosomal_L18p
NODE_857_length_901_cov_3.838592,Rubrerythrin
NODE_856_length_901_cov_5.826456,PepSY
NODE_8567_length_375_cov_2.399329,Hexapep
NODE_8562_length_375_cov_2.892617,RNA_pol_Rpb6
NODE_8538_length_376_cov_0.719064,CTP_transf_3
NODE_8537_length_376_cov_0.795987,GrpB
NODE_852_length_904_cov_1.626360,MreD
NODE_8526_length_376_cov_1.147157,DUF881
NODE_851_length_896_cov_5.321644,MIP
NODE_850_length_905_cov_2.803140,RF-1
NODE_8505_length_376_cov_1.725753,GDE_C
NODE_849_length_905_cov_4.272947,PP-binding
NODE_8498_length_376_cov_1.983278,DUF5406
NODE_848_length_905_cov_8.247585,Hexapep
NODE_8479_length_376_cov_3.046823,TAL_FSA
NODE_8477_length_376_cov_4.036789,Phage_tail_2
NODE_8476_length_376_cov_4.762542,ACT
NODE_8458_length_377_cov_1.196667,Endonuclease_NS
NODE_8448_length_377_cov_1.443333,Ldh_1_C
NODE_841_length_908_cov_4.107100,YadA_anchor
NODE_83_length_2133_cov_26.678016,Ribosomal_S2 Ribosomal_S9 Ribosomal_L13
NODE_839_length_909_cov_4.766827,DNA_gyraseA_C
NODE_8391_length_378_cov_0.870432,DapB_C
NODE_8381_length_378_cov_1.501661,ABC-3
NODE_8366_length_378_cov_2.126246,DUF438
NODE_8365_length_378_cov_2.172757,DNA_binding_1
NODE_8360_length_378_cov_2.322259,CarbopepD_reg_2
NODE_8348_length_378_cov_2.850498,Metallophos_2
NODE_831_length_913_cov_4.227273,RecT
NODE_830_length_913_cov_4.833732,OmpA Gly-zipper_Omp
NODE_8303_length_379_cov_1.500000,PG_binding_3
NODE_828_length_914_cov_3.556750,DUF4625
NODE_8284_length_379_cov_2.337748,LYTB
NODE_827_length_918_cov_1.946492,DNA_methylase GerE
NODE_8266_length_379_cov_5.996689,Toprim_4
NODE_825_length_918_cov_26.243757,Rubrerythrin
NODE_824_length_919_cov_1.520190,Acyl_transf_1
NODE_8246_length_380_cov_1.336634,Isochorismatase
NODE_818_length_921_cov_11.098341,tRNA-synt_2
NODE_8185_length_381_cov_1.118421,P22_CoatProtein
NODE_8168_length_381_cov_1.842105,YbaB_DNA_bd
NODE_8163_length_381_cov_2.131579,RRF
NODE_8160_length_381_cov_2.549342,HNH_3
NODE_8147_length_381_cov_3.608553,Phage_Mu_F
NODE_8139_length_381_cov_5.812500,Glycos_transf_1
NODE_8132_length_382_cov_0.721311,Thymidylat_synt
NODE_812_length_925_cov_22.178066,ExbD
NODE_8115_length_382_cov_1.236066,Ribonuc_red_lgC
NODE_8113_length_382_cov_1.252459,DNA_pol_A_exo1
NODE_810_length_926_cov_87.061249,1-cysPrx_C AhpC-TSA
NODE_809_length_927_cov_3.385882,ELFV_dehydrog
NODE_8090_length_383_cov_1.859016,Peptidase_M41
NODE_8086_length_382_cov_2.170492,DNA_pol3_beta_2
NODE_80855_length_229_cov_0.664474,Hexapep
NODE_807_length_927_cov_5.445882,Biotin_lipoyl_2 PYC_OADA
NODE_80766_length_229_cov_0.782895,TonB_dep_Rec
NODE_80635_length_229_cov_0.960526,adh_short
NODE_8061_length_382_cov_22.511475,Ribosomal_S21
NODE_80430_length_229_cov_0.973684,Amidohydro_2
NODE_803_length_928_cov_1.106682,Peptidase_C10
NODE_80363_length_229_cov_0.973684,DUF3422
NODE_8026_length_383_cov_2.101307,HNH
NODE_8016_length_383_cov_3.016340,DFP
NODE_80085_length_229_cov_1.927632,DUF4043
NODE_8004_length_383_cov_12.333333,DUF4270
NODE_8003_length_383_cov_69.049020,Desulfoferrodox
NODE_7_length_4074_cov_7.187140,YadA_stalk YadA_anchor
NODE_79_length_2164_cov_3.056061,EPSP_synthase RimM
NODE_799_length_931_cov_5.147541,Ribosomal_L13
NODE_79962_length_229_cov_2.875000,PfkB
NODE_7991_length_384_cov_0.941368,DUF2591
NODE_798_length_932_cov_1.825731,DAHP_synth_1
NODE_79661_length_230_cov_0.718954,Iso_dh
NODE_7959_length_384_cov_2.368078,HemN_C
NODE_7952_length_384_cov_2.843648,SSB
NODE_79510_length_230_cov_0.947712,SecE
NODE_79498_length_230_cov_0.954248,Trigger_C
NODE_79477_length_230_cov_0.954248,Trns_repr_metal
NODE_79464_length_230_cov_0.954248,Sigma70_r4
NODE_7938_length_384_cov_8.980456,UPF0051
NODE_79356_length_230_cov_0.960784,Cob_adeno_trans
NODE_79351_length_230_cov_0.960784,eIF-1a
NODE_7932_length_385_cov_0.704545,ATP-synt_A
NODE_7929_length_385_cov_0.847403,DivIC
NODE_7918_length_385_cov_1.373377,LUD_dom
NODE_79163_length_230_cov_1.437908,Methyltransf_24
NODE_790_length_933_cov_3.353972,PK PK_C
NODE_7900_length_385_cov_2.051948,SpoU_methylase
NODE_78_length_2171_cov_2.857211,DUF2303
NODE_789_length_933_cov_20.039720,OmpA
NODE_78942_length_230_cov_1.934641,GlnE
NODE_788_length_934_cov_2.323221,ERCC4 HHH_5
NODE_7871_length_385_cov_4.837662,PTS_EIIB
NODE_78705_length_230_cov_3.843137,DNA_methylase
NODE_786_length_934_cov_8.378063,HSP70
NODE_78624_length_230_cov_32.947712,1-cysPrx_C
NODE_78605_length_231_cov_0.675325,UvrD-helicase
NODE_781_length_938_cov_4.069686,Pribosyltran
NODE_7819_length_386_cov_3.048544,TatC
NODE_7814_length_386_cov_3.420712,Ribosomal_L22
NODE_77_length_2179_cov_8.742150,HSP90 HATPase_c HATPase_c_3
NODE_77942_length_231_cov_1.818182,GTP_cyclohydro2
NODE_7759_length_387_cov_1.906452,ATP-synt_C
NODE_7758_length_387_cov_2.125806,Ribosomal_L14
NODE_77535_length_231_cov_3.844156,FAA_hydrolase
NODE_77533_length_231_cov_3.889610,Ribosomal_L5_C
NODE_77314_length_232_cov_0.825806,CP_ATPgrasp_2
NODE_77083_length_232_cov_0.954839,DNA_processg_A
NODE_7704_length_388_cov_1.463023,Glyco_tran_WecB
NODE_76_length_2196_cov_5.394526,Peptidase_M22 DUF4290
NODE_76998_length_232_cov_0.954839,Cpn60_TCP1
NODE_7691_length_388_cov_1.929260,Pyr_redox_2
NODE_768_length_943_cov_2.155889,Ftsk_gamma
NODE_7681_length_388_cov_2.704180,Thy1
NODE_767_length_943_cov_2.553118,Orn_Arg_deC_N Orn_DAP_Arg_deC
NODE_76764_length_232_cov_1.877419,PriCT_2
NODE_76717_length_232_cov_1.890323,FKBP_C
NODE_76696_length_232_cov_1.890323,RecA
NODE_7661_length_389_cov_1.076923,BPD_transp_1
NODE_765_length_944_cov_3.176471,BPL_LplA_LipB
NODE_7650_length_389_cov_1.599359,Cyt_bd_oxida_II
NODE_763_length_945_cov_1.934332,DUF2492
NODE_7639_length_389_cov_2.176282,TIM
NODE_7634_length_389_cov_2.631410,N6_N4_Mtase
NODE_762_length_945_cov_4.479263,ABC_tran
NODE_7629_length_389_cov_3.176282,Ribonuclease_P
NODE_76218_length_233_cov_0.756410,Transketolase_C
NODE_76159_length_233_cov_0.839744,DUF1653
NODE_76113_length_233_cov_0.910256,B3_4
NODE_76012_length_233_cov_0.942308,tRNA-synt_1
NODE_76011_length_233_cov_0.942308,Aldolase
NODE_75_length_2226_cov_4.732899,Transketolase_N LacAB_rpiB Transket_pyr
NODE_759_length_947_cov_3.905747,Gate
NODE_758_length_947_cov_16.034483,Cpn10
NODE_7588_length_390_cov_1.958466,HHH_5
NODE_757_length_948_cov_1.856487,PUA
NODE_75746_length_233_cov_1.403846,SPOUT_MTase
NODE_75722_length_233_cov_1.442308,DUF2201_N
NODE_75641_length_233_cov_1.814103,Chorismate_bind
NODE_7556_length_390_cov_17.261981,MliC
NODE_75302_length_233_cov_3.147436,GTP_EFTU
NODE_752_length_950_cov_3.617411,HATPase_c
NODE_75240_length_233_cov_3.750000,CobA_CobO_BtuR
NODE_75228_length_233_cov_3.762821,HPPK
NODE_75225_length_233_cov_3.769231,Peptidase_S9
NODE_75130_length_233_cov_14.980769,Ribosomal_S18
NODE_75076_length_234_cov_0.726115,N6_N4_Mtase
NODE_7500_length_391_cov_57.130573,SecE
NODE_74_length_2233_cov_5.961039,Hexapep
NODE_74999_length_234_cov_0.808917,RNA_pol_A_CTD
NODE_7490_length_392_cov_0.968254,TonB_dep_Rec
NODE_747_length_952_cov_3.009143,Fer4_8
NODE_7472_length_392_cov_1.619048,DUF1799
NODE_74704_length_234_cov_0.942675,PspC
NODE_745_length_953_cov_10.626712,Glyco_hydro_77
NODE_74535_length_234_cov_1.426752,P22_CoatProtein
NODE_744_length_954_cov_1.620296,PCRF RF-1
NODE_74472_length_234_cov_1.726115,DUF5309
NODE_74386_length_234_cov_1.866242,HNH
NODE_74344_length_234_cov_1.872611,Ald_Xan_dh_C2
NODE_742_length_955_cov_1.685649,Peptidase_S9_N
NODE_7416_length_393_cov_1.443038,Phage_portal_2
NODE_740_length_955_cov_11.168565,Flavodoxin_1
NODE_7391_length_393_cov_2.762658,Nitroreductase
NODE_738_length_956_cov_4.916951,DUF551
NODE_737_length_957_cov_3.223864,SPOR
NODE_73718_length_235_cov_0.917722,YqaJ
NODE_7356_length_394_cov_1.706625,DUF4254
NODE_733_length_959_cov_3.324263,DUF4446
NODE_73376_length_235_cov_1.132911,Ribonuc_L-PSP
NODE_73361_length_235_cov_1.265823,Flg_new
NODE_73302_length_235_cov_1.487342,EFG_C
NODE_7319_length_394_cov_8.132492,MtN3_slv
NODE_73177_length_235_cov_1.848101,Response_reg
NODE_7308_length_395_cov_1.220126,DUF1778
NODE_7306_length_395_cov_1.308176,DnaB_C
NODE_72_length_2264_cov_6.441244,Oxidored_q6
NODE_729_length_961_cov_3.685520,Glyco_tran_28_C Glyco_transf_28
NODE_7297_length_395_cov_1.531447,5_nucleotid_C
NODE_72969_length_235_cov_2.784810,Enolase_C
NODE_72927_length_235_cov_3.379747,DNA_pol_B_exo2
NODE_72911_length_235_cov_3.639241,NiFeSe_Hases
NODE_72903_length_235_cov_3.670886,Ribonuc_red_lgC
NODE_728_length_961_cov_10.729638,NusG KOW SecE
NODE_72812_length_235_cov_5.398734,SecD_SecF
NODE_727_length_963_cov_2.794582,TP_methylase
NODE_7278_length_395_cov_6.591195,BPD_transp_1
NODE_726_length_963_cov_3.119639,SBP_bac_3
NODE_72684_length_236_cov_0.754717,DUF1367
NODE_72603_length_236_cov_0.867925,Sod_Fe_C
NODE_7258_length_396_cov_1.307210,E1_dh
NODE_724_length_964_cov_7.789177,LysM Peptidase_M23
NODE_72472_length_236_cov_0.924528,HNH
NODE_7240_length_396_cov_2.329154,FKBP_C
NODE_7238_length_396_cov_2.554859,TruB_N
NODE_72358_length_236_cov_0.930818,T2SSE_N
NODE_7234_length_396_cov_3.009404,Phage_portal
NODE_7230_length_396_cov_3.338558,N6_N4_Mtase
NODE_722_length_965_cov_4.207207,Phage_integrase DUF2746
NODE_72294_length_236_cov_0.930818,DUF4406
NODE_72179_length_236_cov_1.433962,adh_short_C2
NODE_7213_length_397_cov_0.775000,Peptidase_S66
NODE_72130_length_236_cov_1.660377,Peptidase_S24
NODE_72127_length_236_cov_1.666667,Head-tail_con
NODE_720_length_967_cov_2.386517,OmpA Opacity OMP_b-brl
NODE_71_length_2267_cov_4.099543,tRNA_anti-codon HGTP_anticodon tRNA-synt_2
NODE_719_length_967_cov_2.586517,ATP-cone
NODE_7199_length_397_cov_1.796875,DUF4625
NODE_7191_length_397_cov_2.268750,RBFA
NODE_7186_length_397_cov_3.193750,DNA_gyraseA_C
NODE_7181_length_397_cov_4.918750,MazG
NODE_717_length_968_cov_19.473625,Peptidase_Prp Ribosomal_L21p
NODE_7174_length_397_cov_21.050000,Ribosomal_S15
NODE_7173_length_397_cov_26.890625,Ribosomal_L5_C
NODE_71738_length_236_cov_3.666667,SLT
NODE_716_length_968_cov_36.615039,Ribosomal_L4
NODE_7167_length_398_cov_1.015576,Oxidored_q2
NODE_7141_length_398_cov_2.205607,MFS_1
NODE_713_length_971_cov_26.771812,Sigma70_r4_2
NODE_71370_length_237_cov_0.912500,EFG_C
NODE_712_length_973_cov_0.954241,Transket_pyr
NODE_71220_length_237_cov_0.925000,HTH_39
NODE_71193_length_237_cov_0.925000,GMC_oxred_N
NODE_71067_length_237_cov_1.337500,RraB
NODE_71030_length_237_cov_1.400000,HTH_17
NODE_71011_length_237_cov_1.468750,tRNA-synt_1
NODE_70_length_2307_cov_24.439013,Thioredoxin_3 1-cysPrx_C Pyr_redox_2 AhpC-TSA
NODE_709_length_975_cov_1.552339,SBP_bac_5
NODE_70995_length_237_cov_1.537500,DNA_ligase_aden
NODE_70839_length_237_cov_1.831250,Sigma70_r4
NODE_70808_length_237_cov_1.837500,Ribosomal_L2_C
NODE_707_length_975_cov_3.214922,FeoA
NODE_70651_length_237_cov_2.743750,Phage_Mu_F
NODE_70625_length_237_cov_2.756250,DUF1385
NODE_70561_length_237_cov_3.606250,PGA_cap
NODE_7047_length_400_cov_1.684211,Ribosomal_L12
NODE_702_length_978_cov_3.629301,ACR_tran
NODE_70249_length_238_cov_0.844720,TcdB_toxin_midC
NODE_7023_length_400_cov_2.922601,Ribosomal_S15
NODE_7021_length_400_cov_3.077399,Peptidase_M24
NODE_7016_length_400_cov_8.278638,ACP_syn_III_C
NODE_7013_length_401_cov_0.527778,NLPC_P60
NODE_6_length_4266_cov_43.850322,GTP_EFTU Phage_int_SAM_5 GTP_EFTU_D3 GTP_EFTU_D2 Ribosomal_S30AE Phage_integrase NusG Phage_int_SAM_4 Ribosomal_S21 Phage_int_SAM_1
NODE_699_length_979_cov_1.603104,NusA_N
NODE_6998_length_401_cov_1.317901,Thymidylat_synt
NODE_69870_length_238_cov_1.291925,PRA-PH
NODE_6986_length_401_cov_1.719136,PCMD
NODE_6983_length_401_cov_1.959877,DNA_methylase
NODE_697_length_980_cov_4.840532,PGI
NODE_696_length_981_cov_3.306416,Ribosomal_S2
NODE_69665_length_238_cov_1.819876,GMC_oxred_C
NODE_6962_length_401_cov_4.820988,NQRA
NODE_695_length_980_cov_16.509956,OSCP ATP-synt_B
NODE_6952_length_402_cov_0.880000,HNH_3
NODE_694_length_982_cov_4.264088,Thioredoxin MarR_2
NODE_69484_length_238_cov_2.726708,Ribosomal_L19
NODE_69423_length_238_cov_2.975155,ABC_tran
NODE_693_length_982_cov_1.622517,Gly_reductase GRDA
NODE_6935_length_402_cov_1.790769,MannoseP_isomer
NODE_69345_length_238_cov_4.049689,T2SSG
NODE_692_length_983_cov_3.935982,SAICAR_synt
NODE_69131_length_239_cov_0.820988,HTH_3
NODE_6911_length_402_cov_3.920000,TIM
NODE_690_length_984_cov_12.701213,Cpn60_TCP1
NODE_6905_length_402_cov_5.643077,Tautomerase
NODE_68_length_2311_cov_28.487914,GTP_EFTU EFG_IV EFG_II Ribosomal_S7 GTP_EFTU_D2 EFG_C
NODE_6899_length_402_cov_89.246154,Ribosomal_L14
NODE_687_length_986_cov_2.455446,OmpH
NODE_6879_length_403_cov_1.401840,Nitroreductase
NODE_6876_length_403_cov_1.622699,Phage_capsid
NODE_68748_length_239_cov_0.919753,Phage_H_T_join
NODE_686_length_986_cov_5.308031,PEP-utilizers_C
NODE_68666_length_239_cov_1.407407,Peptidase_M48
NODE_685_length_986_cov_6.473047,PTA_PTB
NODE_68431_length_239_cov_2.018519,GrpE
NODE_683_length_989_cov_1.259868,CHAP
NODE_682_length_989_cov_4.565789,ATP-synt_ab ATP-synt_ab_C
NODE_6826_length_404_cov_1.318043,OAD_beta
NODE_68258_length_239_cov_3.543210,N6_N4_Mtase
NODE_67_length_2329_cov_4.220249,Acetyltransf_11 Hexapep FabA LpxC
NODE_679_length_990_cov_4.958379,ABC_tran
NODE_678_length_990_cov_5.155531,Toprim DNA_gyraseB_C
NODE_677_length_992_cov_3.289617,PIG-L
NODE_67703_length_240_cov_0.907975,FTSW_RODA_SPOVE
NODE_676_length_994_cov_12.544262,Pyr_redox_2
NODE_67683_length_240_cov_0.907975,Peptidase_M10
NODE_6763_length_405_cov_1.832317,OSCP
NODE_673_length_994_cov_14.215921,EF_TS
NODE_67223_length_240_cov_2.680982,PP_kinase_N
NODE_671_length_995_cov_2.941176,POR
NODE_67198_length_240_cov_2.699387,VIT1
NODE_67145_length_240_cov_3.515337,Ribosomal_L5_C
NODE_67051_length_240_cov_4.503067,Phage_H_T_join
NODE_67042_length_240_cov_4.785276,Pribosyltran
NODE_67013_length_240_cov_8.006135,ExoD
NODE_66_length_2341_cov_4.716998,Biotin_lipoyl Carboxyl_trans
NODE_6692_length_406_cov_3.088146,NinB
NODE_66875_length_241_cov_0.829268,PfkB
NODE_66864_length_241_cov_0.859756,BacA
NODE_66776_length_241_cov_0.896341,Sigma70_r4
NODE_66765_length_241_cov_0.896341,HrcA
NODE_6674_length_407_cov_1.142424,DUF177
NODE_666_length_1000_cov_1.953413,UDG
NODE_66666_length_241_cov_0.902439,P22_CoatProtein
NODE_66587_length_241_cov_0.902439,DUF2909
NODE_6655_length_407_cov_2.475758,DUF2493
NODE_66553_length_241_cov_0.902439,N6_N4_Mtase
NODE_6645_length_407_cov_4.557576,Acyltransferase
NODE_663_length_1003_cov_1.855292,Na_H_antiporter
NODE_6631_length_408_cov_1.108761,Pyr_excise
NODE_661_length_1004_cov_10.815534,THF_DHG_CYH_C TPR_11 Fer4_7
NODE_6617_length_408_cov_1.709970,Ribosomal_L19
NODE_6608_length_408_cov_2.492447,TonB_dep_Rec
NODE_65_length_2355_cov_9.638279,SusD_RagB SusD-like_3
NODE_659_length_1005_cov_7.980603,TPR_8
NODE_65954_length_241_cov_6.054878,Flagellin_C
NODE_6592_length_409_cov_0.719880,Ank_5
NODE_658_length_1005_cov_13.425647,DUF177 Rubredoxin Ribosomal_L32p
NODE_65872_length_242_cov_0.739394,HRDC
NODE_6580_length_409_cov_1.322289,GcpE
NODE_6579_length_409_cov_1.427711,Pyrophosphatase
NODE_6578_length_409_cov_1.548193,ThiC_Rad_SAM
NODE_6576_length_409_cov_1.707831,ELFV_dehydrog
NODE_65747_length_242_cov_0.872727,EFG_C
NODE_65733_length_242_cov_0.878788,NinG
NODE_65694_length_242_cov_0.884848,DUF2158
NODE_65680_length_242_cov_0.890909,BPD_transp_2
NODE_65628_length_242_cov_0.890909,VRR_NUC
NODE_655_length_1006_cov_17.133477,Flavodoxin_1
NODE_6556_length_409_cov_5.792169,ArsC
NODE_6555_length_409_cov_5.816265,Transgly
NODE_65528_length_242_cov_0.896970,Pterin_bind
NODE_65424_length_242_cov_0.896970,Peptidase_C11
NODE_65417_length_242_cov_0.896970,DUF2591
NODE_65416_length_242_cov_0.909091,Chorismate_synt
NODE_652_length_1008_cov_2.346939,Bax1-I
NODE_6520_length_410_cov_2.678679,APH
NODE_6516_length_410_cov_3.513514,DoxX
NODE_65045_length_242_cov_2.624242,RibD_C
NODE_65004_length_242_cov_2.654545,Glycos_transf_1
NODE_6481_length_411_cov_2.329341,Acyl-CoA_dh_1
NODE_64776_length_243_cov_0.626506,DUF4252
NODE_64632_length_243_cov_0.831325,Fer2_3
NODE_6460_length_412_cov_0.740299,Viral_Rep
NODE_6459_length_412_cov_0.802985,Pyr_redox_dim
NODE_6457_length_412_cov_0.922388,LuxS
NODE_64498_length_243_cov_0.885542,AAA_2
NODE_6446_length_412_cov_1.570149,PepSY
NODE_64430_length_243_cov_0.885542,PGPGW
NODE_64379_length_243_cov_0.891566,CP_ATPgrasp_1
NODE_6434_length_412_cov_2.797015,N6_N4_Mtase
NODE_64348_length_243_cov_0.891566,Terminase_GpA
NODE_6424_length_413_cov_0.696429,YafQ_toxin
NODE_64236_length_243_cov_1.198795,DegT_DnrJ_EryC1
NODE_6421_length_413_cov_0.875000,Thioredoxin
NODE_64008_length_243_cov_1.777108,DDE_Tnp_IS66
NODE_6396_length_413_cov_2.625000,Glycos_transf_1
NODE_6382_length_414_cov_0.729970,DNA_methylase
NODE_63720_length_242_cov_3.632530,PurS
NODE_6371_length_414_cov_1.213650,Ubie_methyltran
NODE_6366_length_414_cov_1.329377,dUTPase
NODE_6363_length_414_cov_1.483680,MerR_1
NODE_63632_length_244_cov_0.479042,tRNA-synt_2e
NODE_635_length_1020_cov_3.304348,Mur_ligase Glyco_tran_28_C
NODE_6353_length_414_cov_1.952522,Ribosomal_S7
NODE_63524_length_244_cov_0.778443,Helicase_C
NODE_63509_length_244_cov_0.802395,TylF
NODE_634_length_1021_cov_34.200212,Ribosomal_S6 SSB
NODE_6348_length_414_cov_2.270030,AIRS_C
NODE_63469_length_244_cov_0.856287,Amidase
NODE_63453_length_244_cov_0.868263,RNaseH_like
NODE_63413_length_244_cov_0.874251,DUF1653
NODE_633_length_1022_cov_2.296296,ABC_tran ABC_tran_CTD
NODE_63358_length_244_cov_0.880240,RuvX
NODE_6334_length_414_cov_48.023739,Desulfoferrodox
NODE_63300_length_244_cov_0.880240,DUF1320
NODE_632_length_1022_cov_2.958730,Trypsin Trypsin_2 PDZ_2
NODE_6325_length_415_cov_1.130178,GCV_T_C
NODE_63259_length_244_cov_0.886228,TruB_N
NODE_631_length_1022_cov_6.143915,ATP-synt
NODE_6317_length_415_cov_1.571006,N6_N4_Mtase
NODE_6316_length_415_cov_1.585799,SymE_toxin
NODE_6309_length_415_cov_2.266272,HSP70 GrpE
NODE_63017_length_244_cov_1.652695,Aminotran_1_2
NODE_629_length_1023_cov_11.286469,F_bP_aldolase
NODE_62838_length_243_cov_1.934132,HSP70
NODE_627_length_1025_cov_7.241561,PseudoU_synth_2 S4
NODE_6279_length_416_cov_1.368732,DUF5131
NODE_62761_length_244_cov_2.616766,DUF5131
NODE_62738_length_244_cov_2.628743,Glyco_trans_1_4
NODE_62677_length_244_cov_2.970060,N6_N4_Mtase
NODE_62632_length_244_cov_3.497006,S-AdoMet_synt_C
NODE_62631_length_244_cov_3.502994,Rhodanese
NODE_6258_length_416_cov_3.132743,Phage_capsid
