Locus_tag	Product	Start	End	Length
CJCOGG_00213	energy-dependent translational throttle protein EttA	206259	207926	1667
CJCOGG_00214	murein transglycosylase	208137	210074	1937
CJCOGG_00215	trp operon repressor	210194	210490	296
CJCOGG_00216	inosine/xanthosine triphosphatase	210532	211044	512
CJCOGG_00217	putative phosphoglycerate mutase GpmB	211096	211743	647
CJCOGG_00218	MDR efflux pump AcrAB transcriptional activator RobA	211740	212609	869
CJCOGG_00219	protein CreA	212820	213293	473
CJCOGG_00220	two-component system response regulator CreB	213306	213995	689
CJCOGG_00221	two-component system sensor histidine kinase CreC	213995	215419	1424
CJCOGG_00222	cell envelope integrity protein CreD	215477	216829	1352
CJCOGG_00223	two-component system response regulator ArcA	216889	217605	716
CJCOGG_00224	tRNA/rRNA methyltransferase	218241	218927	686
CJCOGG_00225	thr operon leader peptide	219141	219206	65
CJCOGG_00226	bifunctional aspartate kinase/homoserine dehydrogenase I	219287	221749	2462
CJCOGG_00227	homoserine kinase	221751	222683	932
CJCOGG_00228	threonine synthase	222684	223970	1286
CJCOGG_00229	Uncharacterized protein YaaX	224184	224480	296
CJCOGG_00230	peroxide stress protein YaaA	224634	225410	776
CJCOGG_00231	Uncharacterized transporter YaaJ	225480	226910	1430
CJCOGG_00232	transaldolase B	227189	228142	953
CJCOGG_00233	molybdopterin adenylyltransferase	228257	228844	587
CJCOGG_00234	acetate uptake transporter	228879	229445	566
CJCOGG_00235	acidic protein MsyB	229594	230307	713
CJCOGG_00236	DUF2541 domain-containing protein	230333	230737	404
CJCOGG_00237	molecular chaperone DnaK	231114	233030	1916
CJCOGG_00239	molecular chaperone DnaJ	233119	234249	1130
CJCOGG_00240	Regulatory protein MokC	234353	234562	209
CJCOGG_00242	Na+/H+ antiporter NhaA	235091	236257	1166
CJCOGG_00243	transcriptional activator NhaR	236323	237222	899
CJCOGG_00244	Fimbrial protein	237261	238220	959
CJCOGG_00245	PapC-like C-terminal domain-containing protein	238233	239402	1169
CJCOGG_00246	type III secretion system effector EspX1	239811	240587	776
CJCOGG_00247	T3SS effector protein EspX	241019	241231	212
CJCOGG_00248	30S ribosomal protein S20	241715	241978	263
CJCOGG_00249	bifunctional riboflavin kinase/FAD synthetase	242307	243248	941
CJCOGG_00250	isoleucine--tRNA ligase	243291	246107	2816
CJCOGG_00251	signal peptidase II	246107	246601	494
CJCOGG_00252	FKBP-type peptidyl-prolyl cis-trans isomerase	246689	247138	449
CJCOGG_00253	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	247140	248090	950
CJCOGG_00254	ribonucleoside hydrolase RihC	248156	249070	914
CJCOGG_00255	4-hydroxy-tetrahydrodipicolinate reductase	249237	250058	821
CJCOGG_00257	carbamoyl phosphate synthase small subunit	250514	251662	1148
CJCOGG_00258	carbamoyl-phosphate synthase large subunit	251680	254901	3221
CJCOGG_00259	hypothetical protein	254909	255127	218
CJCOGG_00260	carnitine metabolism transcriptional regulator CaiF	255162	255557	395
CJCOGG_00261	carnitine operon protein CaiE	255643	256233	590
CJCOGG_00262	crotonobetainyl-CoA hydratase	256239	257024	785
CJCOGG_00263	crotonobetaine/carnitine-CoA ligase	257133	258686	1553
CJCOGG_00264	L-carnitine CoA-transferase	258760	259977	1217
CJCOGG_00265	crotonobetainyl-CoA dehydrogenase	260106	261248	1142
CJCOGG_00266	L-carnitine/gamma-butyrobetaine antiporter	261279	262793	1514
CJCOGG_00267	Protein FixA	263267	264037	770
CJCOGG_00268	electron transfer flavoprotein subunit alpha/FixB family protein	264052	264993	941
CJCOGG_00269	ferredoxin-like protein FixX	265044	266330	1286
CJCOGG_00270	ferredoxin-like protein FixX	266327	266614	287
CJCOGG_00271	Putative metabolite transport protein YaaU	266673	268004	1331
CJCOGG_00272	glutathione-regulated potassium-efflux system oxidoreductase KefF	268112	268642	530
CJCOGG_00273	glutathione-regulated potassium-efflux system protein KefC	268635	270497	1862
CJCOGG_00274	type 3 dihydrofolate reductase	270578	271168	590
CJCOGG_00275	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH	271246	272088	842
CJCOGG_00276	Co2+/Mg2+ efflux protein ApaG	272095	272472	377
CJCOGG_00277	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	272475	273296	821
CJCOGG_00278	4-hydroxythreonine-4-phosphate dehydrogenase PdxA	273293	274282	989
CJCOGG_00279	peptidylprolyl isomerase SurA	274282	275568	1286
CJCOGG_00280	LPS assembly protein LptD	275621	277975	2354
CJCOGG_00281	co-chaperone DjlA	278230	279045	815
CJCOGG_00283	bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA	279162	279821	659
CJCOGG_00284	RNA polymerase-associated protein RapA	279833	282739	2906
CJCOGG_00285	DNA polymerase II	282904	285255	2351
CJCOGG_00286	L-ribulose-5-phosphate 4-epimerase	285330	286025	695
CJCOGG_00287	L-arabinose isomerase	286194	287696	1502
CJCOGG_00288	ribulokinase	287707	289407	1700
CJCOGG_00289	arabinose operon transcriptional regulator AraC	289746	290624	878
CJCOGG_00290	Inner membrane protein YabI	290710	291474	764
CJCOGG_00291	thiamine ABC transporter ATP-binding protein ThiQ	291588	292286	698
CJCOGG_00292	thiamine/thiamine pyrophosphate ABC transporter permease ThiP	292270	293880	1610
CJCOGG_00293	thiamine ABC transporter substrate binding subunit	293856	294839	983
CJCOGG_00294	DNA-binding transcriptional regulator SgrR	295003	296658	1655
CJCOGG_00296	Putative inhibitor of glucose uptake transporter SgrT	296747	296878	131
CJCOGG_00297	sugar efflux transporter SetA	296980	298158	1178
CJCOGG_00298	3-isopropylmalate dehydratase small subunit	298207	298812	605
CJCOGG_00299	3-isopropylmalate dehydratase large subunit	298823	300223	1400
CJCOGG_00300	2-isopropylmalate synthase	300226	301317	1091
CJCOGG_00301	2-isopropylmalate synthase	301317	302888	1571
CJCOGG_00302	leu operon leader peptide	302981	303067	86
CJCOGG_00303	transcriptional regulator LeuO	303727	304671	944
CJCOGG_00304	acetolactate synthase 3 large subunit	304989	306713	1724
CJCOGG_00305	acetolactate synthase small subunit	306716	307207	491
CJCOGG_00306	catabolite repressor/activator	307387	308391	1004
CJCOGG_00307	division/cell wall cluster transcriptional repressor MraZ	308993	309451	458
CJCOGG_00308	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	309453	310394	941
CJCOGG_00309	penicillin-binding protein PBP3 FtsI	310391	310756	365
CJCOGG_00310	peptidoglycan glycosyltransferase FtsI	310772	312538	1766
CJCOGG_00311	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase	312525	314012	1487
CJCOGG_00312	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	314009	315367	1358
CJCOGG_00313	phospho-N-acetylmuramoyl-pentapeptide-transferase	315361	316443	1082
CJCOGG_00314	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	316446	317762	1316
CJCOGG_00315	cell division protein FtsW	317762	319006	1244
CJCOGG_00316	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	319003	320070	1067
CJCOGG_00317	UDP-N-acetylmuramate--L-alanine ligase	320124	321599	1475
CJCOGG_00318	D-alanine--D-alanine ligase	321592	322512	920
CJCOGG_00319	cell division protein FtsQ	322514	323344	830
CJCOGG_00320	cell division protein FtsA	323341	324603	1262
CJCOGG_00322	cell division protein FtsZ	324664	325815	1151
CJCOGG_00323	UDP-3-O-acyl-N-acetylglucosamine deacetylase	325916	326833	917
CJCOGG_00324	secA translation cis-regulator SecM	326989	327576	587
CJCOGG_00325	preprotein translocase subunit SecA	327638	330343	2705
CJCOGG_00327	8-oxo-dGTP diphosphatase MutT	330403	330792	389
CJCOGG_00329	DNA gyrase inhibitor YacG	330892	331089	197
CJCOGG_00330	cell division protein ZapD	331099	331842	743
CJCOGG_00331	dephospho-CoA kinase	331842	332462	620
CJCOGG_00332	Protein YacM	332487	332531	44
CJCOGG_00333	GMP reductase	332687	333730	1043
CJCOGG_00334	protein transport protein HofC	333765	334967	1202
CJCOGG_00335	type II secretion system protein GspE	334957	336342	1385
CJCOGG_00336	prepilin peptidase-dependent pilin	336352	336792	440
CJCOGG_00337	carboxylating nicotinate-nucleotide diphosphorylase	336995	337888	893
CJCOGG_00338	1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	337976	338527	551
CJCOGG_00339	beta-lactamase regulator AmpE	338524	339378	854
CJCOGG_00340	aromatic amino acid transporter AroP	339421	340791	1370
CJCOGG_00341	pyruvate dehydrogenase complex transcriptional repressor PdhR	341335	342099	764
CJCOGG_00343	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type	342260	344923	2663
CJCOGG_00344	pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase	344938	346830	1892
CJCOGG_00345	dihydrolipoyl dehydrogenase	347155	348579	1424
CJCOGG_00346	Uncharacterized protein YacH	348650	350407	1757
CJCOGG_00347	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	350762	353359	2597
CJCOGG_00348	protein YacL	353535	353897	362
CJCOGG_00349	adenosylmethionine decarboxylase	353935	354729	794
CJCOGG_00350	polyamine aminopropyltransferase	354745	355611	866
CJCOGG_00351	YacC family pilotin-like protein	355717	356025	308
CJCOGG_00352	multicopper oxidase CueO	356230	357780	1550
CJCOGG_00353	quinoprotein glucose dehydrogenase	357827	360217	2390
CJCOGG_00354	hypoxanthine phosphoribosyltransferase	360423	360959	536
CJCOGG_00355	carbonate dehydratase	361000	361662	662
CJCOGG_00356	Uncharacterized ABC transporter ATP-binding protein YadG	361771	362697	926
CJCOGG_00357	Inner membrane transport permease YadH	362694	363464	770
CJCOGG_00358	Putative phosphotransferase enzyme IIA component YadI	363569	364009	440
CJCOGG_00359	Uncharacterized protein YadE	364073	365302	1229
CJCOGG_00360	aspartate 1-decarboxylase	365306	365686	380
CJCOGG_00361	recombination-promoting nuclease RpnC	365903	366862	959
CJCOGG_00362	pantoate--beta-alanine ligase	366936	367787	851
CJCOGG_00363	3-methyl-2-oxobutanoate hydroxymethyltransferase	367799	368593	794
CJCOGG_00364	fimbrial-like adhesin	368706	369980	1274
CJCOGG_00365	fimbrial-like protein	370033	370629	596
CJCOGG_00366	fimbrial-like protein YadL	370656	371258	602
CJCOGG_00367	Uncharacterized fimbrial-like protein YadM	371273	371842	569
CJCOGG_00368	Yad fimbria usher protein HtrE	371859	374459	2600
CJCOGG_00369	fimbrial chaperone	374494	375234	740
CJCOGG_00370	Uncharacterized fimbrial-like protein YadN	375339	375923	584
CJCOGG_00371	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	376293	376772	479
CJCOGG_00372	polynucleotide adenylyltransferase PcnB	376769	378133	1364
CJCOGG_00373	tRNA glutamyl-Q(34) synthetase GluQRS	378226	379152	926
CJCOGG_00374	RNA polymerase-binding protein DksA	379189	379644	455
CJCOGG_00375	DNA/RNA nuclease SfsA	379822	380526	704
CJCOGG_00376	RNA 2'%2C3'-cyclic phosphodiesterase	380541	381071	530
CJCOGG_00377	ATP-dependent helicase HrpB	381145	383574	2429
CJCOGG_00378	bifunctional glycosyl transferase/transpeptidase	383770	386304	2534
CJCOGG_00379	ferrichrome porin FhuA	386524	388767	2243
CJCOGG_00380	Fe3+-hydroxamate ABC transporter ATP-binding protein FhuC	388818	389615	797
CJCOGG_00381	Fe(3+)-hydroxamate ABC transporter substrate-binding protein FhuD	389615	390505	890
CJCOGG_00382	Fe(3+)-hydroxamate ABC transporter permease FhuB	390502	392484	1982
CJCOGG_00383	glutamate-1-semialdehyde 2%2C1-aminomutase	392519	393799	1280
CJCOGG_00384	Protein YadX	393965	394012	47
CJCOGG_00385	H(+)/Cl(-) exchange transporter ClcA	394024	395445	1421
CJCOGG_00386	Protein YadW	395469	395534	65
CJCOGG_00387	iron-sulfur cluster insertion protein ErpA	395527	395871	344
CJCOGG_00388	UPF0126 inner membrane protein YadS	395918	396541	623
CJCOGG_00389	vitamin B12 ABC transporter substrate-binding protein BtuF	396579	397379	800
CJCOGG_00390	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	397372	398070	698
CJCOGG_00391	dGTPase	398154	399671	1517
CJCOGG_00392	serine endoprotease DegP	399801	401225	1424
CJCOGG_00393	DNA-binding transcriptional regulator CdaR	401380	402537	1157
CJCOGG_00394	DUF3461 domain-containing protein	402626	403012	386
CJCOGG_00395	2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase	403327	404151	824
CJCOGG_00396	bifunctional uridylyltransferase/uridylyl-removing protein GlnD	404182	406854	2672
CJCOGG_00397	type I methionyl aminopeptidase	406916	407710	794
CJCOGG_00399	30S ribosomal protein S2	408078	408803	725
CJCOGG_00401	elongation factor Tu	409061	409912	851
CJCOGG_00402	UMP kinase	410059	410784	725
CJCOGG_00403	ribosome recycling factor	411076	411633	557
CJCOGG_00404	1-deoxy-D-xylulose-5-phosphate reductoisomerase	411725	412921	1196
CJCOGG_00405	(2E%2C6E)-farnesyl-diphosphate-specific ditrans%2Cpolycis-undecaprenyl-diphosphate synthase	413110	413868	758
CJCOGG_00406	Phosphatidate cytidylyltransferase	413868	414020	152
CJCOGG_00407	phosphatidate cytidylyltransferase	413989	414738	749
CJCOGG_00408	sigma E protease regulator RseP	414750	416102	1352
CJCOGG_00409	outer membrane protein assembly factor BamA	416132	418564	2432
CJCOGG_00410	molecular chaperone Skp	418686	419171	485
CJCOGG_00411	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	419175	420200	1025
CJCOGG_00412	3-hydroxyacyl-ACP dehydratase FabZ	420305	420760	455
CJCOGG_00413	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase	420764	421552	788
CJCOGG_00414	lipid-A-disaccharide synthase	421552	422700	1148
CJCOGG_00415	ribonuclease HII	422697	423293	596
CJCOGG_00416	DNA polymerase III subunit alpha	423330	426812	3482
CJCOGG_00417	acetyl-CoA carboxylase carboxyl transferase subunit alpha	426825	427784	959
CJCOGG_00418	lysine decarboxylase LdcC	427883	430024	2141
CJCOGG_00419	VOC family protein	430081	430470	389
CJCOGG_00420	tRNA lysidine(34) synthetase TilS	430535	431833	1298
CJCOGG_00421	Rho-binding antiterminator	431882	432142	260
